year,department_name,state,lat,lon,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime,months_reported,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k
1976,Wichita, Kan.,37.6922361,-97.3375448,256455,19,111,514,470,1114,12,434.3842,7.408707181,43.28244721,200.4250258,183.2680197
1977,Albuquerque, N.M.,35.0841034,-106.6509851,292341,31,207,754,1398,2390,12,817.5384226,10.60405485,70.80772112,257.9179793,478.2086673
1977,Arlington, Texas,32.7355816,-97.1071186,112994,4,34,85,266,389,12,344.2660672,3.540010974,30.09009328,75.2252332,235.4107298
1977,Atlanta,,33.7490987,-84.3901849,440300,138,510,3354,3593,7595,12,1724.960254,31.34226664,115.8301158,761.75335,816.0345219
1977,Austin, Texas,30.2711286,-97.7436995,321900,33,187,512,528,1260,12,391.4259087,10.25163094,58.09257533,159.0556073,164.0260951
1977,Baltimore,,39.2908608,-76.6108073,827494,171,499,7563,6050,14283,12,1726.054811,20.6648024,60.30255204,913.9643309,731.123126
1977,Boston,,42.3604823,-71.0595678,619321,75,408,5655,3284,9422,12,1521.343536,12.11003664,65.8785993,913.0967624,530.2581375
1977,Buffalo, N.Y.,42.8864468,-78.8783689,415352,45,236,1822,1842,3945,12,949.7967989,10.83418402,56.81927618,438.6640729,443.4792658
1977,Chicago,,41.8755546,-87.6244212,3086806,823,1227,16512,10311,28873,12,935.3681443,26.66186343,39.74982555,534.9218577,334.0345976
1977,Cincinnati,,39.1014537,-84.5124602,423671,72,291,1625,1451,3439,12,811.7147504,16.9943187,68.68537143,383.5523319,342.4827283
1977,Cleveland,,41.5051613,-81.6934446,638793,249,508,6466,2198,9421,12,1474.812654,38.9797634,79.52497914,1012.221486,344.0864255
1977,Columbus, Ohio,39.9622601,-83.0007065,568800,69,331,1752,1086,3238,12,569.2686357,12.13080169,58.19268636,308.0168776,190.92827
1977,Dallas,,32.7761963,-96.7968994,873700,224,637,3637,4401,8899,12,1018.541834,25.63809088,72.90832093,416.2756095,503.7198123
1977,Denver,,39.7391536,-104.9847034,520200,73,466,2488,2005,5032,12,967.3202614,14.03306421,89.58093041,478.2775855,385.4286813
1977,Detroit,,42.3486635,-83.0567375,1316352,479,1277,15832,6482,24070,12,1828.538263,36.38844321,97.01052606,1202.717814,492.42148
1977,El Paso, Texas,31.8111305,-106.5013493,386000,32,107,824,597,1560,12,404.1450777,8.29015544,27.72020725,213.4715026,154.6632124
1977,Fort Worth, Texas,32.753177,-97.3327459,383028,102,208,1132,1119,2561,12,668.6195265,26.62990695,54.30412398,295.5397517,292.1457439
1977,Fresno, Calif.,36.7394421,-119.7848307,182629,52,71,958,592,1673,12,916.064809,28.47302455,38.87662967,524.5607215,324.1544333
1977,Houston,,29.7589382,-95.3676974,1613303,376,965,6153,1810,9304,12,576.7050579,23.30622332,59.81517421,381.3914683,112.192192
1977,Indianapolis,,39.7683331,-86.1583502,509000,80,346,2139,1220,3785,12,743.6149312,15.71709234,67.97642436,420.2357564,239.6856582
1977,Jacksonville, Fla.,30.3321838,-81.655651,528698,77,299,1466,2329,4171,12,788.9191939,14.56408006,56.55402517,277.2849528,440.5161359
1977,Kansas City, Mo.,39.0844687,-94.5630298,492055,97,325,2326,2868,5616,12,1141.335826,19.71324344,66.04952698,472.7113839,582.861672
1977,Las Vegas,,36.1662859,-115.149225,279791,59,183,1419,1068,2729,12,975.3709019,21.08716864,65.40596374,507.1642762,381.7134933
1977,Long Beach, Calif.,33.7774658,-118.1884871,346662,75,226,1996,1094,3391,12,978.1862448,21.63490662,65.19318529,575.7769816,315.5811713
1977,Los Angeles,,34.053717,-118.2427266,2785393,576,2339,15246,15515,33676,12,1209.021492,20.67930809,83.97378754,547.355436,557.0129601
1977,Louisville, Ky.,38.2542376,-85.759407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,Memphis, Tenn.,35.1490215,-90.0516285,667150,105,581,2749,1796,5231,12,784.0815409,15.73858952,87.08686203,412.0512628,269.2048265
1977,Mesa, Ariz.,33.436188,-111.5860661,116400,4,34,83,264,385,12,330.7560137,3.436426117,29.20962199,71.30584192,226.8041237
1977,Miami,,25.7742658,-80.1936589,333713,84,178,2447,2637,5346,12,1601.97535,25.17132986,53.3392466,733.2648114,790.1999622
1977,Milwaukee,,43.0349931,-87.922497,640489,54,213,1389,879,2535,12,395.7913407,8.431058145,33.25584046,216.8655512,137.2388909
1977,Minneapolis,,44.9772995,-93.2654692,390294,38,324,1652,1116,3130,12,801.9595484,9.736250109,83.01434303,423.2706626,285.9382927
1977,New Orleans,,29.9499323,-90.0701156,587776,173,360,3279,2135,5947,12,1011.779998,29.43298127,61.2478223,557.8655814,363.2336128
1977,New York City,,40.7305991,-73.9865812,7481613,1557,3899,74404,42056,121916,12,1629.541651,20.8110203,52.1144304,994.4914285,562.1247718
1977,Newark, N.J.,40.735657,-74.1723667,351412,92,324,3203,2556,6175,12,1757.196681,26.1800963,92.19946957,911.4657439,727.351371
1977,Oakland, Calif.,37.8044557,-122.2713563,339264,94,366,3037,2267,5764,12,1698.971892,27.70703641,107.8805886,895.1730806,668.2111866
1977,Oklahoma City,,35.4729886,-97.5170536,373570,67,251,775,1602,2695,12,721.4176727,17.93505903,67.18954948,207.4577723,428.8352919
1977,Omaha, Neb.,41.2587317,-95.9378732,367281,31,172,809,906,1918,12,522.21596,8.440403941,46.83062832,220.2673158,246.677612
1977,Orlando, Fla.,28.5421175,-81.3790462,118374,15,85,274,769,1143,12,965.5836586,12.67170156,71.80630882,231.4697484,649.6358998
